hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,dir
ll_amihud_spread_24 alto | vol,21953,51.232177834464544,-0.01782216553544913,0.5237550919859342,1.0,48.64451091480152,2.5876669196630218,-0.3132535707660864,-0.17076440126483305,48,44,0.45454545454545453,False,no cruza el umbral,largo
ll_amihud_spread_24 alto,22044,51.11594991834513,-0.13405008165486265,0.657230403133618,1.0,48.66486887253316,2.451081045811968,-0.4280568895456085,-0.28955833371354345,48,44,0.45454545454545453,False,no cruza el umbral,largo
ll_vol_spread_24 bajo | vol,21946,50.961450833864944,-0.28854916613504855,0.8056407454227129,1.0,48.54961797507773,2.411832858787214,-0.609390957199885,-0.41311276195716573,48,46,0.5869565217391305,False,no cruza el umbral,largo
ll_vol_spread_24 bajo,22148,50.821744627054365,-0.4282553729456282,0.9000430377125053,1.0,48.63539194582509,2.1863526812292733,-0.7075211474806835,-0.5370118074477688,48,45,0.5777777777777777,False,no cruza el umbral,largo
ll_qv_spread_24 bajo | vol,21867,50.64252069328211,-0.6074793067178845,0.9643800900795677,1.0,48.642523019832154,1.999997673449954,-0.9430803571428541,-0.8013734873234171,47,45,0.5111111111111111,False,no cruza el umbral,largo
ll_amihud_spread_12 alto,22050,50.50340136054422,-0.746598639455776,0.9869497954683878,1.0,48.633230673983356,1.8701706865608614,-1.0676277759822668,-0.8919612314709155,48,47,0.44680851063829785,False,no cruza el umbral,largo
ll_amihud_spread_12 alto | vol,21964,50.459843380076485,-0.7901566199235077,0.9906018547243377,1.0,48.630899936235075,1.8289434438414105,-1.1132676709154055,-0.9454430959468709,48,47,0.44680851063829785,False,no cruza el umbral,largo
ll_qv_spread_12 bajo,21992,50.38195707530011,-0.8680429246998855,0.9950901355199435,1.0,48.662537253830415,1.7194198214696925,-1.1875260308204858,-1.0442198646423932,48,47,0.44680851063829785,False,no cruza el umbral,largo
ll_tk_spread_6 alto,22039,50.34711193792821,-0.9028880620717814,0.9964096749880802,1.0,48.66480004833566,1.6823118895925546,-1.2315464107768932,-1.0400310388899001,48,47,0.425531914893617,False,no cruza el umbral,largo
ll_qv_spread_6 bajo,22018,50.33154691615951,-0.9184530838404825,0.9968646504546033,1.0,48.66669238792627,1.664854528233242,-1.2430674307898428,-1.0741286373395411,48,47,0.48936170212765956,False,no cruza el umbral,largo
ll_qv_spread_12 bajo | vol,21843,50.31817973721559,-0.9318202627844059,0.9971273484400098,1.0,48.64481914397269,1.6733605932428972,-1.2779720279720195,-1.1256104302957652,48,48,0.4375,False,no cruza el umbral,largo
ll_qv_spread_24 bajo,22016,50.23619186046512,-1.0138081395348735,0.9987202483849027,1.0,48.6617728985406,1.574418961924522,-1.3423616883716534,-1.1997487437185868,48,45,0.5111111111111111,False,no cruza el umbral,largo
ll_qv_spread_6 bajo | vol,21841,50.14422416556018,-1.105775834439811,0.9994738861380177,1.0,48.61906900486748,1.5251551606927052,-1.4597315436241516,-1.2776446737928424,48,47,0.46808510638297873,False,no cruza el umbral,largo
ll_tk_spread_6 alto | vol,22076,50.13589418372894,-1.1141058162710564,0.9995473963032699,1.0,48.673887462209656,1.4620067215192805,-1.4480289214331705,-1.249999999999993,48,47,0.44680851063829785,False,no cruza el umbral,largo
ll_tk_spread_24 alto | vol,21984,50.11826783114993,-1.1317321688500641,0.9996156624819952,1.0,48.63146861779008,1.486799213359852,-1.4491109464715635,-1.270588369858622,48,44,0.38636363636363635,False,no cruza el umbral,largo
ll_tk_spread_24 alto,21985,50.07505117125313,-1.1749488287468637,0.999760388512217,1.0,48.632530477092736,1.4425206941603932,-1.4954385477447332,-1.3186310395314749,48,44,0.38636363636363635,False,no cruza el umbral,largo
ll_vol_spread_24 alto,22138,50.009034239768724,-1.2409657602312691,0.99989249926356,1.0,48.62731535987188,1.3817188798968445,-1.562012480499213,-1.3658511653264185,47,45,0.37777777777777777,False,no cruza el umbral,largo
ll_amihud_lo_1 bajo | vol,21926,49.99543920459728,-1.2545607954027105,0.999901674952725,1.0,48.59852014324073,1.3969190613565559,-1.5712981369331018,-1.415243734508394,48,48,0.5416666666666666,False,no cruza el umbral,largo
ll_amihud_spread_6 alto,22080,49.841485507246375,-1.4085144927536177,0.9999862936756445,1.0,48.675565023786014,1.1659204834603614,-1.7341386942087738,-1.562058676142314,48,48,0.4583333333333333,False,no cruza el umbral,largo
ll_amihud_spread_6 alto | vol,21861,49.79644115090801,-1.4535588490919835,0.9999917040417143,1.0,48.634684164805165,1.1617569861028443,-1.7878338278931665,-1.6136531025593754,48,48,0.4583333333333333,False,no cruza el umbral,largo
ll_vol_spread_24 alto | vol,22228,49.54111930897967,-1.708880691020326,0.9999998336051066,1.0,48.64015084271595,0.9009684662637198,-2.030679327976614,-1.8405244581202709,48,45,0.35555555555555557,False,no cruza el umbral,largo
