sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
USDCUSDT,0.0010000150002315547,0.0,0.001000015000229837,0.20100001500022985,32963898.23131,3,2767871936.90654,1
BTCUSDT,1.2652914418231725e-05,1.3089881356767426e-09,1.2652914427313533e-05,0.20001265291442732,275890.3792354,3,1141217502.5873334,2
ETHUSDT,0.00039897622701022295,1.659030407643424e-07,0.00039897622700069135,0.2003989762270007,901147.64514,3,608675306.274538,3
REUSDT,0.019063959584403583,1.4668457950525531e-05,0.04194155746669592,0.24194155746669593,247481.74166,3,349621255.39271,4
SOLUSDT,0.009894622272785737,3.23947039537812e-05,0.009894622272776932,0.20989462227277694,3370194.74866,3,245619817.96862,5
XRPUSDT,0.007037050068610463,6.1070818797461746e-06,0.00703705006862565,0.20703705006862566,1661566.74776,3,236889843.46983,6
USD1USDT,0.0010002950870461277,0.0,0.001000295087039138,0.20100029508703915,31332566.412130002,3,178028739.27657,7
ZECUSDT,0.0012245972605748143,0.0007088985047920549,0.003113254973263757,0.20311325497326377,310562.75612,3,156216665.71236,8
BNBUSDT,0.0014136773281485642,4.304867220851819e-07,0.001413677328143681,0.2014136773281437,707267.99676,3,95363994.88274,9
RLUSDUSDT,0.00999750062484269,0.0,0.00999750062484761,0.20999750062484762,31324405.668500002,3,74404501.4351,10
ONGUSDT,0.04637730041950333,0.03210958464156683,0.5738441276117556,0.7738441276117556,2402.20116,3,65409253.20493,11
DOGEUSDT,0.01143314468645744,6.711344139713753e-06,0.011433144686456842,0.21143314468645685,984556.29992,3,52660182.67184,12
SNDKBUSDT,0.0019323484797230763,0.01191859395809288,0.015293288945961159,0.21529328894596117,233823.744063,3,48437903.363335,13
SUIUSDT,0.013091575571118542,1.572222794279902e-05,0.01760620260105039,0.2176062026010504,447842.24371,3,42495604.80048,14
PUMPUSDT,0.020335536349756288,1.804890886401534e-05,0.04641883484559628,0.2464188348455963,472535.401021,3,41677628.371504,15
TRXUSDT,0.029775197260678576,0.0,0.029775197260673014,0.22977519726067303,1770446.88585,3,41430094.82495,16
ENAUSDT,0.06786562606041177,5.3110454049071593e-05,0.06786562606041491,0.2678656260604149,796376.536759,3,31749287.289823,17
PEPEUSDT,0.25940337224383664,0.00038951003068554295,0.25940337224383825,0.45940337224383826,5536287.00465766,3,30156586.73218889,18
TRUMPUSDT,0.043020004302014796,7.472208694695297e-05,0.06323284351342773,0.26323284351342774,332723.978228,3,29178896.69926,19
TUTUSDT,0.03988035892324252,1.2149979123132793e-05,0.10140347955046591,0.3014034795504659,62056.83196,3,29137411.03322,20
PYTHUSDT,0.02005816868920482,6.144286291262189e-06,0.0381241389236342,0.2381241389236342,103158.190441,3,29100022.744647,21
BMTUSDT,0.046805523051718194,3.3446490032165404e-05,0.22922669112991345,0.42922669112991346,76398.095262,3,27623618.002933,22
UUSDT,0.010005503026674672,0.0,0.010005503026666585,0.2100055030266666,17104526.5847,3,27206783.9542,23
LTCUSDT,0.019831432821017375,1.3808565801945002e-05,0.019843238416494824,0.21984323841649483,547365.82953,3,22761407.51573,24
XAUTUSDT,0.0002168494165171659,4.684596530565857e-08,0.00021684941651223255,0.20021684941651224,282501.771966,3,22635774.146283,25
NEARUSDT,0.05261773217574912,3.2003014838890396e-05,0.052617732175741505,0.2526177321757415,1114583.3107,3,22471362.5268,26
LINKUSDT,0.008621061252635422,3.668586950970638e-06,0.01705514633770777,0.21705514633770778,276175.2656,3,22446677.73488,27
ADAUSDT,0.0470698987997124,4.616938672788028e-05,0.04706989879972312,0.24706989879972313,745482.86523,3,22223876.57024,28
TAOUSDT,0.04278074866311133,6.913183246934671e-05,0.04278074866312931,0.24278074866312932,948030.88072,3,18018472.87454,29
BICOUSDT,0.20312817387770857,0.09386389858409389,0.34539602147894977,0.5453960214789497,79461.4172403,3,17700467.5359726,30
EDENUSDT,0.13419816595840864,0.030986917696099205,0.21179898877092818,0.4117989887709282,111624.003361,3,17691424.180248,31
WLDUSDT,0.02430428970713063,3.4112284441180297e-06,0.024304289707133275,0.2243042897071333,358145.47376,3,16793094.33315,32
ONTUSDT,0.02953773445577629,0.03427904446937248,0.22297480577568862,0.42297480577568863,21151.95389,3,16248459.49059,33
PENGUUSDT,0.01049372999633769,2.1298185304658528e-05,0.03437352110742253,0.23437352110742254,229524.222721,3,16178104.787827,34
AAVEUSDT,0.007877427232269972,2.867952379662701e-06,0.031042582354001702,0.2310425823540017,141447.39401,3,15500247.26157,35
FDUSDUSDT,0.010014521055529416,0.0,0.010014521055534686,0.2100145210555347,10687287.7237,3,15480016.4824,36
POLUSDT,0.00915960613693256,1.850302243445367e-05,0.07783984792782972,0.27783984792782973,44484.455417,3,14737110.686726,37
CRCLBUSDT,0.011066231394904128,0.006373211150938035,0.018943754708367067,0.21894375470836708,402928.4532,3,14542903.0746,38
UNIUSDT,0.022735023303406477,5.971146059028723e-06,0.041526536266311975,0.241526536266312,321486.39809,3,14320180.43915,39
EURIUSDT,0.008581112970351308,0.0,0.00858111297035169,0.2085811129703517,744143.68532,3,13553339.58694,40
XPLUSDT,0.011427918404674019,1.4357932260598574e-05,0.07060031859629223,0.27060031859629224,257400.407084,3,13392605.43266,41
PORTALUSDT,0.062324711748205634,6.74052871151824e-05,0.21039467817185464,0.41039467817185465,83071.77663,3,13191844.828738,42
XLMUSDT,0.05412719891745006,7.368448203603696e-05,0.05412719891744189,0.2541271989174419,473513.5739,3,13088165.8227,43
SPCXBUSDT,0.00710605791436554,1.5429307620355007e-06,0.010368894494561243,0.21036889449456125,626632.44125,3,13040693.56321,44
ZROUSDT,0.08536064874092103,4.2032403851547425e-05,0.10037290671365273,0.30037290671365274,483258.77411,3,12687916.52398,45
HEIUSDT,0.06980802792322285,0.04040224293584657,0.19173139873398526,0.39173139873398527,56194.967169999996,3,12337416.67473,46
PROMUSDT,0.0701672319027041,0.027005805888518166,0.1544875368877041,0.3544875368877041,95043.44744999999,3,12192414.35308,47
EURUSDT,0.008580376678535244,0.004954307865140619,0.008580376678535284,0.2085803766785353,328033.03608,3,11811315.05523,48
PAXGUSDT,0.00021658311973295904,1.4338644016650255e-08,0.00021658311973871136,0.20021658311973872,358057.076716,3,11543875.504541,49
AVAXUSDT,0.013467106592153173,1.047240563661602e-06,0.023453423587926903,0.2234534235879269,406275.35761,3,10752977.20791,50
FETUSDT,0.05954153021733656,4.088768183996892e-05,0.059541530217344096,0.2595415302173441,337089.52924,3,10252168.63708,51
MUBUSDT,0.009253975353582248,0.005073288318509315,0.018984293808144148,0.21898429380814416,307487.40623,3,10159440.62247,52
FFUSDT,0.031491103763189254,0.01602319628415509,0.10885246339048527,0.3088524633904853,59393.234308,3,9992030.574072,53
SNXXBUSDT,0.14194464158977696,0.00010074146558179302,0.16858028079731469,0.3685802807973147,386329.7074,3,9433287.8239,54
