sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
USDCUSDT,0.0010000150002315547,0.0,0.001000015000229837,0.20100001500022985,32550823.857984997,2,2775957387.4384,1
BTCUSDT,1.2644146144472095e-05,8.590537944396179e-09,1.2644146146767454e-05,0.20001264414614678,627769.63272975,2,1141609105.817181,2
ETHUSDT,0.0003983818339503239,2.199581510800157e-07,0.0003983818339436951,0.2003983818339437,902976.4341475,2,609833355.186998,3
REUSDT,0.0190512480295988,2.5664444030839515e-06,0.2604968944012076,0.4604968944012076,246955.37459999998,2,349555809.3275,4
SOLUSDT,0.009856107844034838,1.1677355783026353e-05,0.009856107844041784,0.2098561078440418,3797232.04366,2,248944378.35747,5
XRPUSDT,0.007014838070350406,4.871337656243823e-06,0.007755529568231889,0.2077555295682319,1711823.7278149999,2,236985998.9926,6
USD1USDT,0.0010002900841504182,7.075162963466604e-09,0.0010002900841632467,0.20100029008416326,31300171.183335003,2,177933060.46335,7
ZECUSDT,0.0012251600776065385,6.898965343835913e-07,0.04607085682908907,0.24607085682908908,307975.021645,2,156296643.77953,8
BNBUSDT,0.001412429446225888,4.373007291044004e-07,0.0047876951972780635,0.20478769519727807,606021.484775,2,95839702.95056,9
RLUSDUSDT,0.009998500224965153,0.0,0.009998500224972506,0.20999850022497252,31355892.0894,2,74489496.8613,10
ONGUSDT,0.03873598822684973,0.03039796744761943,,,3303.352195,0,65521562.02035,11
DOGEUSDT,0.011414230485694121,1.3818764601862212e-05,0.03139714269815852,0.23139714269815853,958754.24642,2,52505131.88402,12
SNDKBUSDT,0.000643629055304623,1.493916929909503e-07,0.02888616544425293,0.22888616544425294,222366.5626215,2,48455754.62752,13
SUIUSDT,0.01306847933124082,3.622900034596149e-06,0.048383789475225925,0.24838378947522594,452396.57944500004,2,42629364.0768,14
PUMPUSDT,0.02036452584200229,5.864940156206164e-06,0.12513835149293717,0.3251383514929372,474606.001713,2,41715719.391981,15
TRXUSDT,0.02977076576831287,6.267076605131169e-06,0.040827647505492504,0.24082764750549251,1739048.51954,2,41365750.8533,16
ENAUSDT,0.06779661795996952,3.250132086873976e-05,0.11126029223101352,0.31126029223101354,768612.421914,2,31866214.459139,17
