hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
en maximos historicos,1752,58.50456621004566,7.254566210045667,7.194200255655319e-10,0.011,53.008640938077335,5.495925271968325,-1.041376912378297,4.203431372549026,47,18,0.6666666666666666,False,muere en la correccion (FDR q=0.05),largo
beta_btc bajo,17464,56.510535959688504,5.260535959688511,3.1439521929972527e-44,0.3815,50.725513291410806,5.785022668277698,4.069281616363185,4.666404441014073,48,48,0.4166666666666667,False,muere en la correccion (FDR q=0.05),largo
dd_ath bajo,23450,54.302771855010654,3.0527718550106613,4.549118295424027e-21,0.6285,48.15204247373854,6.150729381272114,2.588661117506419,2.8850465677820054,39,37,0.4594594594594595,False,muere en la correccion (FDR q=0.05),largo
turnover bajo,22846,53.30473605882868,2.054736058828688,2.704625560937356e-10,0.549,49.091046105965944,4.213689952862737,1.584110962258059,1.9028719229397097,48,48,0.4583333333333333,False,muere en la correccion (FDR q=0.05),largo
vol_por_mov bajo,23360,53.0736301369863,1.82363013698631,1.2761642789337432e-08,0.109,49.31177426055158,3.7618558764347227,1.4190716471071738,1.6511885443620926,49,49,0.5510204081632653,False,muere en la correccion (FDR q=0.05),largo
corr_btc bajo,18365,52.77429893819766,1.524298938197667,1.8513019165816568e-05,0.8155,50.58261238843838,2.1916865497592823,0.49873847224640144,1.1635246357468603,48,48,0.375,False,muere en la correccion (FDR q=0.05),largo
edad_d bajo,22301,51.87211335814538,0.6221133581453842,0.03201644026025704,0.7555,48.43664509288409,3.435468265261285,-0.008259284575068193,0.3869047619047734,49,45,0.4222222222222222,False,muere en la correccion (FDR q=0.05),largo
mecha_sup bajo,21000,50.60952380952381,-0.6404761904761855,0.9688222590577975,1.0,48.924643934891904,1.6848798746319034,-1.0939481127474835,-0.832573649361855,49,49,0.4489795918367347,False,no cruza el umbral,largo
corr_btc alto,22658,50.463412481242834,-0.7865875187571589,0.9912354867063602,1.0,47.601034486048036,2.862377995194798,-1.2638453018275726,-0.9638257914505459,48,48,0.5208333333333334,False,no cruza el umbral,largo
vol_rel alto,21744,50.395511405445184,-0.8544885945548089,0.9942577960878635,1.0,48.71721347160747,1.6782979338377118,-1.259404683532395,-1.0529031210870414,48,48,0.4583333333333333,False,no cruza el umbral,largo
taker_24 alto,21374,50.20117900252643,-1.0488209974735625,0.9989457990950068,1.0,48.93772842471833,1.2634505778081007,-1.635444098635375,-1.4304025826053888,49,49,0.4489795918367347,False,no cruza el umbral,largo
vol_z alto,21767,50.16309091744384,-1.0869090825561543,0.9993476789261486,1.0,48.6926246419739,1.4704662754699385,-1.5153952745549262,-1.2986674391656905,48,48,0.3958333333333333,False,no cruza el umbral,largo
mecha_inf bajo,20855,49.949652361544,-1.300347638455996,0.9999163355872758,1.0,48.904006293903535,1.0456460676404618,-1.7815240288051655,-1.51243559493426,49,49,0.42857142857142855,False,no cruza el umbral,largo
taker alto,21687,49.92852861161064,-1.3214713883893552,0.9999519316420062,1.0,48.858960975143674,1.0695676364669637,-1.8080251584223888,-1.5874447288806053,49,49,0.4489795918367347,False,no cruza el umbral,largo
trades_rel alto,21709,49.868718043207885,-1.3812819567921082,0.999977328241788,1.0,48.76981456336959,1.0989034798382917,-1.761430591562565,-1.5727903952440556,48,48,0.4375,False,no cruza el umbral,largo
tam_trade_rel alto,21677,49.81316602850948,-1.4368339714905147,0.9999887766261474,1.0,48.69834256869146,1.1148234598180196,-1.7701713505625278,-1.6219546215361689,48,48,0.4375,False,no cruza el umbral,largo
mecha_inf alto,21781,49.49726826132868,-1.752731738671315,0.9999998901781124,1.0,48.65579052040091,0.8414777409277647,-2.159262225572405,-1.919498568658227,49,49,0.4489795918367347,False,no cruza el umbral,largo
rank_turnover bajo,22808,49.399333567169414,-1.8506664328305789,0.9999999891731645,1.0,48.96156949190698,0.4377640752624359,-2.392895939890458,-2.0524936994296255,48,48,0.4375,False,no cruza el umbral,largo
cuerpo bajo,22421,49.36889523214843,-1.8811047678515607,0.9999999915878889,1.0,48.67738025415058,0.6915149779978549,-2.222304065998813,-2.033600520903491,49,48,0.4583333333333333,False,no cruza el umbral,largo
disp alto,22166,49.33682216006496,-1.913177839935031,0.9999999941921969,1.0,48.65745915751477,0.6793630025501898,-2.3200835859281668,-2.0576957981667974,39,32,0.5625,False,no cruza el umbral,largo
edad_d alto,22145,49.324904041544364,-1.9250959584556284,0.9999999952116247,1.0,48.576031295515826,0.7488727460285389,-2.3957420812393266,-2.1025439912699397,12,12,0.5,False,no cruza el umbral,largo
taker bajo,21365,49.304937982681956,-1.9450620173180369,0.9999999938215125,1.0,49.04615160050619,0.25878638217576366,-2.4451429390955113,-2.1379909791392535,49,49,0.40816326530612246,False,no cruza el umbral,largo
dd_ath alto,17975,49.00695410292072,-2.24304589707927,0.9999999991485984,1.0,49.775039189249995,-0.7680850863292719,-3.995681953543773,-3.121287699671292,49,49,0.46938775510204084,False,no cruza el umbral,largo
efic_24 bajo,21663,48.917509116927484,-2.3324908830725093,0.9999999999969011,1.0,48.75332880728909,0.1641803096383967,-2.6963583598576975,-2.470417633410669,49,49,0.4489795918367347,False,no cruza el umbral,largo
mecha_sup alto,21649,48.824426070488244,-2.4255739295117493,0.9999999999995559,1.0,48.71402351681871,0.11040255366953033,-2.711191505356126,-2.5405022746263057,49,49,0.46938775510204084,False,no cruza el umbral,largo
taker_24 bajo,21199,48.653238360300016,-2.5967616396999773,0.9999999999999815,1.0,48.85995980654261,-0.20672144624259658,-3.03203098767208,-2.7583745717548496,49,49,0.42857142857142855,False,no cruza el umbral,largo
vol_rel bajo,20989,48.29196245652484,-2.9580375434751502,1.0,1.0,49.12417687902232,-0.8322144224974792,-3.5667814071578476,-3.1956277222036036,48,48,0.3958333333333333,False,no cruza el umbral,largo
trades_rel bajo,22048,48.29009433962264,-2.959905660377352,1.0,1.0,49.063830852702644,-0.7737365130800029,-3.419297516846669,-3.1689325507817827,48,48,0.3958333333333333,False,no cruza el umbral,largo
cuerpo alto,23289,48.23307140710206,-3.0169285928979335,1.0,1.0,48.73190382073624,-0.49883241363418307,-3.4119256017505393,-3.201925986770995,49,49,0.40816326530612246,False,no cruza el umbral,largo
taker_z alto,21662,48.019573446588495,-3.2304265534114975,1.0,1.0,48.62767523932242,-0.6081017927339261,-3.6115215046198514,-3.397893857858591,48,48,0.4166666666666667,False,no cruza el umbral,largo
tam_trade_rel bajo,20362,47.99135644828602,-3.2586435517139734,1.0,1.0,48.95428544944995,-0.9629290011639284,-3.8810504117292552,-3.5133948449017893,48,48,0.4166666666666667,False,no cruza el umbral,largo
breadth bajo,22432,47.811162624821684,-3.4388373751783092,1.0,1.0,48.62844193165939,-0.8172793068377047,-3.7669147496616944,-3.5792830560911,46,41,0.4146341463414634,False,no cruza el umbral,largo
disp bajo,22321,47.703955915953586,-3.5460440840464074,1.0,1.0,48.68041459662462,-0.9764586806710369,-3.965261958997715,-3.7045823378262526,41,38,0.47368421052631576,False,no cruza el umbral,largo
efic_24 alto,22621,47.50895185889218,-3.741048141107811,1.0,1.0,48.57284635700691,-1.0638944981147276,-4.181603453731739,-4.001414695005117,49,48,0.4166666666666667,False,no cruza el umbral,largo
idio_168 bajo,22911,47.41390598402514,-3.836094015974851,1.0,1.0,48.40420452215653,-0.9902985381313911,-4.148743140378819,-3.9540659678055974,48,48,0.375,False,no cruza el umbral,largo
taker_z bajo,21540,47.28876508820798,-3.961234911792012,1.0,1.0,48.672377001434754,-1.3836119132267726,-4.328957310162444,-4.122166394017285,48,48,0.375,False,no cruza el umbral,largo
breadth alto,22533,47.11312297519194,-4.136877024808051,1.0,1.0,48.604500121724456,-1.491377146532514,-4.517487484778776,-4.2851722906623735,49,47,0.3617021276595745,False,no cruza el umbral,largo
vol_z bajo,21632,46.884245562130175,-4.365754437869818,1.0,1.0,48.48646118586872,-1.6022156237385445,-4.783220720720713,-4.572792168534612,48,48,0.5,False,no cruza el umbral,largo
vol_por_mov alto,18023,46.24646285302114,-5.00353714697885,1.0,1.0,48.08205646521434,-1.8355936121932004,-6.337010750133629,-5.5062876977352815,49,49,0.46938775510204084,False,no cruza el umbral,largo
rank_turnover alto,19581,45.937388284561564,-5.312611715438429,1.0,1.0,48.24411399428657,-2.306725709725008,-6.065014852822031,-5.666104553119723,48,48,0.4791666666666667,False,no cruza el umbral,largo
turnover alto,19831,45.14144521204175,-6.108554787958241,1.0,1.0,48.21749081377938,-3.0760456017376256,-7.025560038220611,-6.45689124750038,48,48,0.4791666666666667,False,no cruza el umbral,largo
idio_168 alto,22909,45.06089309878214,-6.189106901217855,1.0,1.0,49.34693599568052,-4.28604289689838,-6.944038245219339,-6.497104588453709,48,48,0.375,False,no cruza el umbral,largo
beta_btc alto,22943,42.605587760972846,-8.644412239027147,1.0,1.0,48.47073043487196,-5.865142673899115,-8.94247817029386,-8.749671355330612,46,37,0.3783783783783784,False,no cruza el umbral,largo
beta_btc alto,22943,57.39441223902716,6.144412239027169,1.2597248353202218e-77,0.09,51.52926956512803,5.865142673899129,5.683677863910432,5.96373200442968,46,37,0.5675675675675675,False,muere en la correccion (FDR q=0.05),corto
idio_168 alto,22909,54.93910690121786,3.689106901217869,3.047111865360228e-29,0.1945,50.65306400431948,4.28604289689838,3.3642545519298466,3.570864067439416,48,48,0.6041666666666666,False,muere en la correccion (FDR q=0.05),corto
turnover alto,19831,54.85855478795825,3.608554787958255,1.5047004409898427e-24,0.4795,51.782509186220615,3.0760456017376328,3.168074186715913,3.4511191912940404,48,48,0.5,False,muere en la correccion (FDR q=0.05),corto
rank_turnover alto,19581,54.062611715438436,2.812611715438443,1.8190332805648616e-15,0.3225,51.755886005713414,2.306725709725022,2.2540282529522244,2.6199204021784723,48,48,0.5,False,muere en la correccion (FDR q=0.05),corto
