hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,fdr_ok,veredicto,lado
hhi_24 alto,20886,54.10322704203773,2.8532270420377372,8.424127003081883e-17,0.453,49.39964077018015,4.703586271857581,2.213922638234571,2.5880044303187972,49,49,0.46938775510204084,False,muere en la correccion (FDR q=0.05),largo
tk_sd_24 alto,21593,53.920251933496964,2.6702519334969708,2.194640359336553e-15,0.4205,49.279804488041925,4.640447445455038,2.0971293132489635,2.5107364874483977,49,49,0.46938775510204084,False,muere en la correccion (FDR q=0.05),largo
cambios_24 bajo,19873,53.862023851456755,2.6120238514567617,9.22091441814741e-14,0.458,48.897553728410955,4.9644701230458,1.943246940988189,2.3317344200880967,49,49,0.4489795918367347,False,muere en la correccion (FDR q=0.05),largo
amihud_24 alto,23400,53.730769230769226,2.4807692307692335,1.6556780615242023e-14,0.2715,49.124120146569666,4.60664908419956,1.9692302522514566,2.333931384561531,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),largo
amihud_24 alto | vol,23366,53.432337584524525,2.1823375845245323,1.302239688944226e-11,0.2025,49.21911850872772,4.2132190757968075,1.6732449156012592,1.987722729248155,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),largo
chop_24 bajo,22642,53.3830933663104,2.133093366310405,7.05035424078114e-11,0.3555,49.58291130677846,3.8001820595319344,1.4766919180395206,1.9029105515910416,49,49,0.4489795918367347,False,muere en la correccion (FDR q=0.05),largo
amihud alto | vol,23194,52.949038544451156,1.699038544451163,1.1693602757301451e-07,0.251,49.3592287246658,3.5898098197853585,1.2939912699495366,1.5539636953566998,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),largo
amihud alto,23294,52.85051944706791,1.6005194470679172,5.290378118496342e-07,0.346,49.29683065249581,3.5536887945721034,1.1966921815199711,1.4627706196862178,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),largo
tk_sd_24 alto | vol,22219,52.43260272739547,1.1826027273954764,0.00021579295729208582,0.2915,49.30234220815173,3.130260519243741,0.6378718535469119,0.9845981420714622,49,49,0.5306122448979592,False,muere en la correccion (FDR q=0.05),largo
cambios_24 bajo | vol,20959,52.39276683047856,1.142766830478564,0.0004783790140150286,0.403,48.89382616327093,3.498940667207627,0.4313116685484317,0.8686237343442684,49,49,0.42857142857142855,False,muere en la correccion (FDR q=0.05),largo
tk_sd alto,21662,52.33127135075247,1.0812713507524805,0.0007439519878964646,0.528,49.198263143031795,3.1330082077206782,0.5838831748496105,0.8708166309313086,49,49,0.42857142857142855,False,muere en la correccion (FDR q=0.05),largo
hhi_24 alto | vol,21522,52.272093671591854,1.0220936715918612,0.0013811619636338887,0.346,49.475339388765164,2.79675428282669,0.3479306676981153,0.7544855620970097,49,49,0.46938775510204084,False,muere en la correccion (FDR q=0.05),largo
hhi alto,21409,52.19767387547293,0.9476738754729368,0.0028264116013489997,0.5055,49.28820611026447,2.9094677652084613,0.44516082294988024,0.7143276226238058,49,49,0.4489795918367347,False,muere en la correccion (FDR q=0.05),largo
centro_24 bajo,22479,52.057475866364165,0.8074758663641717,0.007859357060032874,0.4,48.80719631952519,3.250279546838975,0.4644284481584222,0.6770229280042912,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),largo
chop_24 bajo | vol,22729,52.04364468300409,0.7936446830040964,0.00849017854273386,0.275,49.564528905782105,2.4791157772219847,0.14482053611995127,0.5476385265113066,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),largo
centro_24 bajo | vol,22481,51.87936479693964,0.6293647969396474,0.02997130398781396,0.3885,48.844300228872754,3.035064568066886,0.2820713604793781,0.4984388938447921,49,49,0.5102040816326531,False,muere en la correccion (FDR q=0.05),largo
cambios bajo,23508,51.70580228007486,0.4558022800748702,0.08201966599362595,0.552,48.86702306735974,2.8387792127151243,-0.007791238697201663,0.2183879793100587,49,49,0.4489795918367347,False,muere en la correccion (FDR q=0.05),largo
camino alto | vol,23308,51.6689548652823,0.4189548652823092,0.10149464043208059,0.496,48.71250327247657,2.9564515928057347,0.1534702394026013,0.3203761147731683,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),largo
tk_sd alto | vol,22000,51.595454545454544,0.345454545454551,0.154253433150288,0.4505,49.26990489277123,2.325549652683314,-0.11245141719593477,0.19843568945539403,49,49,0.4489795918367347,False,muere en la correccion (FDR q=0.05),largo
hhi alto | vol,21723,51.49380840583713,0.24380840583713592,0.23819439606096557,0.4495,49.34861399397742,2.1451944118597055,-0.2846205059920024,0.01948157054988542,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),largo
cambios bajo | vol,21305,51.419854494250174,0.16985449425018118,0.3123681298415866,0.496,48.90601691690768,2.5138375773424926,-0.3286450950681754,-0.07766429211680759,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),largo
efic_h_24 alto | vol,22492,51.32491552552019,0.07491552552019698,0.4136728970790006,0.4365,49.186084115226166,2.1388314102940242,-0.6083009819593386,-0.21626278095580886,49,49,0.4897959183673469,False,muere en la correccion (FDR q=0.05),largo
chop bajo,22665,51.06110743437018,-0.18889256562981416,0.7175484104414075,1.0,49.18979062968796,1.8713168046822162,-0.6593778178539225,-0.36142704816064253,49,49,0.4489795918367347,False,no cruza el umbral,largo
efic_h_24 alto,22601,51.059687624441395,-0.19031237555859803,0.7187222359744293,1.0,49.21711962834094,1.8425679961004562,-0.8574070712113553,-0.47491039426522264,49,49,0.4897959183673469,False,no cruza el umbral,largo
chop bajo | vol,22634,50.693646726164175,-0.5563532738358177,0.9536374672573427,1.0,49.25030764854467,1.4433390776195054,-1.0235917406266921,-0.7186763594326564,49,49,0.42857142857142855,False,no cruza el umbral,largo
ac1_5m bajo,19165,50.24784763892512,-1.0021523610748702,0.9973054558381542,1.0,48.711990858092726,1.5358567808323969,-1.713711851612203,-1.297913117546841,49,48,0.4166666666666667,False,no cruza el umbral,largo
ac1_5m alto | vol,22852,50.22317521442324,-1.0268247855767498,0.9990710814094216,1.0,48.60451904819143,1.6186561662318155,-1.5964099334173056,-1.2389336461422573,49,49,0.4489795918367347,False,no cruza el umbral,largo
