ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_T10 x d_T10 ~ sin roc_168 [bajo],corto,194,0.33047243726441644,2.2063079903751532,0.6030927835051546,0.021,0.003856724949292497,1.0865382066171003,0.8168270996795888,0.28599892383916325,0.29377085834540084,False,muere en la correccion (FDR q=0.1)
beta_T10 x d_T10 [bajo],corto,194,0.3268651909804558,2.1242280688410027,0.5824742268041238,0.018,0.0039978447583939375,1.0717037810031536,0.8060054256183725,0.2635646712534238,0.29315254540757973,False,muere en la correccion (FDR q=0.1)
CTRL roc_168 [bajo],corto,203,0.18055385630518891,1.8879283962947517,0.5270935960591133,0.0775,0.001889103720262134,1.0280180743791267,0.7501193470882742,0.11594991147067835,0.1600592858804898,False,muere en la correccion (FDR q=0.1)
beta_T10 ~ sin roc_168,corto,195,0.11678208239484132,2.1731353708814245,0.5384615384615384,0.2245,0.001563441354918174,1.0780644287072028,0.8192453726777058,0.016962538611638458,0.0795793994220473,False,dentro del MDE del azar (±0.362)
CONTROL azar 3,corto,203,0.09583608192937217,1.6822793275436843,0.541871921182266,0.214,4.278802381176395e-05,1.0090925557494745,0.8082914582890363,0.04162864608526616,0.07255570296406003,False,control
beta_T10,corto,195,0.09111412451681812,2.2309371308969523,0.49230769230769234,0.287,0.0016735252737564684,1.0718005794965075,0.8193324815643175,0.022660746324369384,0.06083414274663507,False,dentro del MDE del azar (±0.362)
beta_ORO x d_ORO,corto,194,0.08414800032146846,1.8954882753467759,0.5,0.2835,0.0021432886580695287,1.0794003363158573,0.8229941647206206,0.014261473882036076,0.08206146397833654,False,dentro del MDE del azar (±0.362)
beta_ORO x d_ORO ~ sin roc_168,corto,194,0.05246578065666058,1.789345147413862,0.4639175257731959,0.3675,0.0016617086464491685,1.063394966611767,0.8189356331895792,-0.019667084078419956,0.005154728246268629,False,dentro del MDE del azar (±0.362)
beta_ORO ~ sin roc_168,corto,195,-0.04974684840146954,1.9283794483210381,0.48205128205128206,1.0,-0.0007193968686330966,1.0515677261514265,0.8098723530805416,-0.1163612586720859,-0.09925114747139589,False,spread <= 0
beta_DXY x d_DXY ~ sin roc_168 [bajo],corto,194,-0.05571045599320492,2.3886045969247993,0.5051546391752577,1.0,0.0003399329466549205,1.06206721723903,0.803906445814497,-0.12010595324099675,-0.09636428185591356,False,spread <= 0
beta_ORO,corto,195,-0.07630421443506373,2.0883948005676363,0.49743589743589745,1.0,-0.0007436887726097671,1.0537426030150416,0.80801087395259,-0.14909156567958287,-0.08715235574627721,False,spread <= 0
beta_DXY,corto,195,-0.07702430528311321,2.219271791295703,0.4461538461538462,1.0,-0.0017153668141254399,0.958566119585955,0.8118630166146388,-0.19718803305455077,-0.09553260503940311,False,spread <= 0
beta_T10 [bajo],corto,195,-0.09257621688207605,2.1497583038871846,0.5384615384615384,1.0,-0.0003928653067150113,1.0862827246931925,0.8043463230589678,-0.1581017934569659,-0.10213677095173003,False,spread <= 0
beta_DXY ~ sin roc_168 [bajo],corto,195,-0.11163098034980846,2.374486640701432,0.517948717948718,1.0,-0.0006713296608210456,1.1091280166174078,0.8056415272118198,-0.14952668015521078,-0.12383397024190755,False,spread <= 0
beta_DXY x d_DXY [bajo],corto,194,-0.12107357372864724,2.417837227335853,0.4742268041237113,1.0,-0.0009583006235565009,1.0453967542685216,0.7996427840837306,-0.22531401049095282,-0.15551929130020214,False,spread <= 0
beta_T10 ~ sin roc_168 [bajo],corto,195,-0.12175510386117636,2.1486511247836027,0.5025641025641026,1.0,-0.0009401834965403728,1.0794248604664063,0.8074544314278855,-0.19849256053309672,-0.1553691048096484,False,spread <= 0
beta_DXY ~ sin roc_168,corto,195,-0.12593595194164933,2.097121931041622,0.4512820512820513,1.0,-0.002040121095108646,0.9759230254233353,0.8122969926741049,-0.16455597797392363,-0.13641521662847259,False,spread <= 0
beta_DXY x d_DXY ~ sin roc_168,corto,194,-0.1329096185559629,2.033698734065235,0.4690721649484536,1.0,-0.0026384152382193152,1.022334107315663,0.8104049726972005,-0.1842526439741749,-0.1409740331532659,False,spread <= 0
CTRL atr_24,corto,203,-0.1480537535284486,2.7344195795462447,0.4975369458128079,1.0,-0.0017813771696617569,1.766078985511015,1.1164223969756288,-0.17952495280581976,-0.1560889452482393,False,spread <= 0
beta_NDX ~ sin roc_168,corto,195,-0.15785371977349008,2.020586904676538,0.5333333333333333,1.0,-0.0018422990872712759,1.117298681706594,0.8003486631669704,-0.2529366734771342,-0.2013544753801691,False,spread <= 0
beta_ORO [bajo],corto,195,-0.2032411275659052,1.9982859767435712,0.4564102564102564,1.0,-0.0028427655215147963,1.0726058002962737,0.8228971645666796,-0.2165654768394029,-0.20806257919474042,False,spread <= 0
beta_ORO ~ sin roc_168 [bajo],corto,195,-0.20738011737083475,1.993659232208041,0.441025641025641,1.0,-0.003013198492315584,1.0722145891040291,0.8228971645666796,-0.25592786417548796,-0.2099766181869477,False,spread <= 0
CONTROL azar 1,corto,203,-0.2196841028760279,2.0546629682256947,0.4729064039408867,1.0,-0.001357675215995373,1.0092309527053107,0.8101588074335823,-0.26503756517849286,-0.24216992336629392,False,control
beta_NDX,corto,195,-0.22296694478504953,2.109536186352159,0.5384615384615384,1.0,-0.003104587140785633,1.1321677907188332,0.80419364509919,-0.29862448261603847,-0.22808728282101115,False,spread <= 0
beta_DXY x d_DXY,corto,194,-0.23013836954913902,2.1084332784008786,0.4536082474226804,1.0,-0.004483830969529687,1.0285426131262092,0.8154680440684474,-0.28124149216219746,-0.22088046247182905,False,spread <= 0
beta_ORO x d_ORO ~ sin roc_168 [bajo],corto,194,-0.23958308945404855,1.9980553187767516,0.4639175257731959,1.0,-0.004776331359139792,1.057332168694601,0.8110650153927361,-0.2877433747329116,-0.26039993177268017,False,spread <= 0
beta_T10 x d_T10,corto,194,-0.24625939380403916,2.05981813912987,0.4536082474226804,1.0,-0.0020050593660214736,1.085159367951078,0.8157686967602475,-0.3322222201835433,-0.2712157431631619,False,spread <= 0
beta_NDX x d_NDX [bajo],corto,194,-0.24716828528772236,2.195102316555875,0.4742268041237113,1.0,-0.004425505960424977,0.9257300212793215,0.7997564446633993,-0.2972911616193376,-0.24883905110920748,False,spread <= 0
beta_NDX x d_NDX ~ sin roc_168 [bajo],corto,194,-0.2479102200963832,2.1275892869826145,0.4329896907216495,1.0,-0.004337935233131195,0.9397661330044849,0.8078913900596387,-0.32026347800330685,-0.2751360736868937,False,spread <= 0
beta_VIX x d_VIX [bajo],corto,195,-0.25025457135163803,2.2274180632310427,0.4256410256410256,1.0,-0.0021014589701673263,0.9340747178614087,0.8001003669847204,-0.2815188909610562,-0.2813544302026765,False,spread <= 0
beta_T10 x d_T10 ~ sin roc_168,corto,194,-0.25339566676176284,1.9059059600800892,0.44329896907216493,1.0,-0.0025247303362469034,1.0697278653879676,0.8107870897005536,-0.3351922991203869,-0.3011743004605632,False,spread <= 0
CONTROL azar 2,corto,203,-0.27587356870995083,1.7501393679378077,0.43842364532019706,1.0,-0.0009309910538745081,0.9911653813172115,0.7983578659045102,-0.2326941696518055,-0.2741778176463346,False,control
beta_VIX,corto,195,-0.28466115834027467,2.7646011181460373,0.40512820512820513,1.0,-0.0014978658129834244,0.7567552462659907,0.8006193936638284,-0.35470235919617554,-0.2862570541590079,False,spread <= 0
CTRL roc_24,corto,203,-0.2901922852679449,2.624041641648538,0.5123152709359606,1.0,-0.003876710292504033,1.3013586288623065,0.9846977221472808,-0.3835723049404712,-0.3378202770111286,False,spread <= 0
beta_ORO x d_ORO [bajo],corto,194,-0.29379924398787505,2.057666939179469,0.4587628865979381,1.0,-0.005111016999467868,1.0439061143043904,0.8018051709450401,-0.3097692612992089,-0.29360434035242905,False,spread <= 0
beta_NDX x d_NDX,corto,194,-0.2952549159203016,2.6443979901101033,0.5,1.0,-0.0010034688928033796,0.9863821497209445,0.813572039197104,-0.3597882836035753,-0.30853849591718946,False,spread <= 0
beta_VIX ~ sin roc_168 [bajo],corto,195,-0.2964281743507466,1.8914755617257308,0.48717948717948717,1.0,-0.00402802926765391,1.1454434501427464,0.8144084553815018,-0.35907654659605515,-0.31748288491106436,False,spread <= 0
beta_NDX x d_NDX ~ sin roc_168,corto,194,-0.32014673187983794,2.5157904701866993,0.4948453608247423,1.0,-0.00164649580615422,0.9878765837756566,0.8052640522507758,-0.37933224644044855,-0.340210706679937,False,spread <= 0
beta_DXY [bajo],corto,195,-0.325952463114512,2.3592321153340556,0.47692307692307695,1.0,-0.0041055115348671,1.1165730264947837,0.8071150321373483,-0.35923871484250885,-0.3344896315858274,False,spread <= 0
beta_VIX x d_VIX ~ sin roc_168 [bajo],corto,195,-0.34377911745285766,2.2351526245388675,0.46153846153846156,1.0,-0.002959478253779142,0.9544590191515274,0.819796900568716,-0.4180925280873269,-0.3724624806408229,False,spread <= 0
beta_VIX x d_VIX ~ sin roc_168,corto,195,-0.3555088990221213,2.3673737185573076,0.4666666666666667,1.0,-0.003842581613548969,0.9747428312831097,0.8048949724045488,-0.3892748832545736,-0.3877027911401578,False,spread <= 0
beta_VIX [bajo],corto,195,-0.3825369081400233,1.9576568505399583,0.4461538461538462,1.0,-0.0055228999152779745,1.1519026746689722,0.8124498215301313,-0.4153919988728988,-0.4023988130999079,False,spread <= 0
beta_NDX [bajo],corto,195,-0.3827037387077316,2.7855365022159235,0.4307692307692308,1.0,-0.0031789481181870435,0.7791046011888275,0.811735898297096,-0.44445229242803413,-0.4165295768722499,False,spread <= 0
beta_VIX ~ sin roc_168,corto,195,-0.4028598421242323,2.648973741118115,0.441025641025641,1.0,-0.0027740305996742016,0.7837584002918907,0.8101016561838261,-0.43906287148086315,-0.42044574055218015,False,spread <= 0
beta_VIX x d_VIX,corto,195,-0.41694349512865975,2.5504703036058176,0.4256410256410256,1.0,-0.0049193067580940745,0.974583203073554,0.8132781476078259,-0.44336344878122913,-0.4414792677951323,False,spread <= 0
beta_NDX ~ sin roc_168 [bajo],corto,195,-0.4761497546160577,2.6814330226114564,0.38974358974358975,1.0,-0.004990812358040528,0.8098259781851291,0.8131149272644234,-0.5374871941526297,-0.4976130799056113,False,spread <= 0
beta_VIX [bajo],largo,195,0.10134372358681998,1.9489521854612497,0.4666666666666667,0.233,0.0015228999152779726,1.1519026746689722,0.8124498215301313,0.01052316089468444,0.06559503225530956,False,dentro del MDE del azar (±0.363)
beta_NDX ~ sin roc_168 [bajo],largo,195,0.06054133810658169,2.6575751596066652,0.5230769230769231,0.3615,0.0009908123580405256,0.8098259781851291,0.8131149272644234,-0.13687776045984448,0.008830682503031814,False,dentro del MDE del azar (±0.363)
beta_VIX x d_VIX,largo,195,0.05797476046508669,2.509045461705785,0.5128205128205128,0.3675,0.0009193067580940714,0.974583203073554,0.8132781476078259,-0.11113415351957744,-0.01293530124906785,False,dentro del MDE del azar (±0.363)
beta_DXY [bajo],largo,195,0.037775978330907914,2.349192148255142,0.4564102564102564,0.4285,0.00010551153486709778,1.1165730264947837,0.8071150321373483,-0.12844395775952633,-0.03536263108128959,False,dentro del MDE del azar (±0.363)
beta_VIX ~ sin roc_168 [bajo],largo,195,0.01393818359803273,1.8894036626324224,0.441025641025641,0.4775,2.8029267653906517e-05,1.1454434501427464,0.8144084553815018,-0.09541485554401635,-0.037225979206448094,False,dentro del MDE del azar (±0.363)
beta_VIX x d_VIX ~ sin roc_168,largo,195,0.001673535780243604,2.327957533257042,0.46153846153846156,0.517,-0.0001574183864510342,0.9747428312831097,0.8048949724045488,-0.1740843009117355,-0.06016962166672052,False,ARTEFACTO DE ESCALA (atr_ratio 0.97)
beta_ORO x d_ORO [bajo],largo,194,-0.012499099708592146,2.054290298903525,0.4639175257731959,1.0,0.001111016999467866,1.0439061143043904,0.8018051709450401,-0.16180252223677763,-0.0666521778516161,False,spread <= 0
CTRL roc_24,largo,203,-0.01282311032439153,2.6216593404224002,0.43349753694581283,1.0,-0.0001232897074959696,1.3013586288623065,0.9846977221472808,-0.127594051482897,-0.047702913099686044,False,spread <= 0
