hipotesis,n,wr,margen,p_indep,p,wr_pareado,vs_pareado,margen_sin_top3,margen_sin_top1,semanas_todas,semanas,sem_ok,veredicto,fdr_ok,lado
"cat privateSale (>=0,5%)",237,54.008438818565395,2.758438818565402,0.21634384141977547,1.0,52.63558983686587,1.3728489816995264,-0.7598039215686256,1.2163677130044874,147.0,0.0,,muere en la correccion (FDR q=0.1),False,corto
"desbloqueo >=0,5% (todos)",1036,50.289575289575296,-0.9604247104246966,0.7420034959076213,1.0,51.74388553455266,-1.4543102449773642,-2.136339937434819,-1.3508064516128968,266.0,0.0,,no cruza el umbral,False,corto
"cat noncirculating (>=0,5%)",238,46.63865546218487,-4.611344537815121,0.9316367688487543,1.0,51.77500109206512,-5.136345629880246,-10.00706214689265,-7.435567010309271,145.0,0.0,,no cruza el umbral,False,corto
dosis 2.0%-5%,341,46.33431085043988,-4.915689149560116,0.9692732318122947,1.0,51.60035475032445,-5.266043899884572,-8.060631229235874,-6.128048780487795,187.0,0.0,,no cruza el umbral,False,corto
"cat insiders (>=0,5%)",273,46.15384615384615,-5.09615384615384,0.9595174687282948,1.0,50.23776720695693,-4.083921053110778,-8.89192139737991,-6.676356589147275,184.0,0.0,,no cruza el umbral,False,corto
dosis 0.5%-1%,197,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,corto
dosis 1.0%-2%,193,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,corto
dosis 5.0%-10%,162,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,corto
dosis >=10%,143,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,corto
"cat ecosystem (>=0,5%)",70,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,corto
"cat farming (>=0,5%)",93,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,corto
"cat insiders (>=0,5%)",273,53.84615384615385,2.596153846153854,0.21254070996523133,1.0,49.76223279304308,4.083921053110764,-1.7450495049504866,0.31950672645741207,184.0,0.0,,muere en la correccion (FDR q=0.1),False,largo
dosis 2.0%-5%,341,53.665689149560116,2.415689149560123,0.2009366662637638,1.0,48.39964524967556,5.266043899884558,-0.2083333333333286,1.4313880126183065,187.0,0.0,,muere en la correccion (FDR q=0.1),False,largo
"cat noncirculating (>=0,5%)",238,53.36134453781513,2.1113445378151354,0.2786664069151205,1.0,48.22499890793488,5.136345629880246,-2.0037688442210992,0.5518018018018154,145.0,0.0,,muere en la correccion (FDR q=0.1),False,largo
"desbloqueo >=0,5% (todos)",1036,49.71042471042471,-1.5395752895752821,0.8467214189780232,1.0,48.25611446544736,1.45431024497735,-3.32226354941551,-2.474489795918359,266.0,0.0,,no cruza el umbral,False,largo
"cat privateSale (>=0,5%)",237,45.9915611814346,-5.258438818565395,0.9539609564517295,1.0,47.36441016313414,-1.3728489816995406,-7.61363636363636,-6.07456140350876,147.0,0.0,,no cruza el umbral,False,largo
dosis 0.5%-1%,197,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,largo
dosis 1.0%-2%,193,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,largo
dosis 5.0%-10%,162,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,largo
dosis >=10%,143,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,largo
"cat ecosystem (>=0,5%)",70,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,largo
"cat farming (>=0,5%)",93,,,,1.0,,,,,,,,POCA MUESTRA (n<200),False,largo
