sym,t,res,velas,dt,semana,mes,resuelto,pct,cat,win,y,x_crudo,x,q,era
AIUSDT,1777456800000,1,2,2026-04-29 10:00:00+00:00,2026-W18,2026-04,True,0.997750556792873,noncirculating,1.0,0.5538128718226067,-0.0009780211866303803,-0.0009780211866303803,2026Q2,2024-2026
ALTUSDT,1706263200000,1,9,2024-01-26 10:00:00+00:00,2024-W04,2024-01,True,1.13166666625,publicSale,1.0,0.510446075663467,0.05371852373695577,0.0,2024Q1,2024-2026
ALTUSDT,1708077600000,1,8,2024-02-16 10:00:00+00:00,2024-W07,2024-02,True,0.2727272727272727,airdrop,1.0,0.510446075663467,-0.5642714304385626,-0.5642714304385626,2024Q1,2024-2026
ALTUSDT,1708855200000,-1,25,2024-02-25 10:00:00+00:00,2024-W08,2024-02,True,0.09575757545454545,noncirculating,0.0,-0.48955392433653305,-1.0188268586338334,-1.0188268586338334,2024Q1,2024-2026
ALTUSDT,1711447200000,-1,29,2024-03-26 10:00:00+00:00,2024-W13,2024-03,True,0.0873893802785922,noncirculating,0.0,-0.48955392433653305,-1.058541340439168,-1.058541340439168,2024Q1,2024-2026
ALTUSDT,1714125600000,1,54,2024-04-26 10:00:00+00:00,2024-W17,2024-04,True,0.08036622562582209,noncirculating,1.0,0.510446075663467,-1.0949264276951411,-1.0949264276951411,2024Q2,2024-2026
ALTUSDT,1716717600000,-1,92,2024-05-26 10:00:00+00:00,2024-W21,2024-05,True,0.07438794708643216,noncirculating,0.0,-0.48955392433653305,-1.1284974265226533,-1.1284974265226533,2024Q2,2024-2026
ALTUSDT,1719396000000,-1,57,2024-06-26 10:00:00+00:00,2024-W26,2024-06,True,0.06923751079687775,noncirculating,0.0,-0.48955392433653305,-1.1596585541214968,-1.1596585541214968,2024Q2,2024-2026
ALTUSDT,1721988000000,-1,99,2024-07-26 10:00:00+00:00,2024-W30,2024-07,True,0.35594262331551496,privateSale,0.0,-0.48955392433653305,-0.44862000311063815,-0.44862000311063815,2024Q3,2024-2026
ALTUSDT,1735120800000,-1,22,2024-12-25 10:00:00+00:00,2024-W52,2024-12,True,0.10389297605029442,privateSale,0.0,-0.48955392433653305,-0.9834138130367892,-0.9834138130367892,2024Q4,2024-2026
